,file_name,file_path,file_shape
82,840398035.dcm,/kaggle/input/rsna-breast-cancer-detection/train_images/10514/840398035.dcm,"(4096, 3328)"
83,1196389201.dcm,/kaggle/input/rsna-breast-cancer-detection/train_images/10514/1196389201.dcm,"(4096, 3328)"
84,415339637.dcm,/kaggle/input/rsna-breast-cancer-detection/train_images/10514/415339637.dcm,"(4096, 3328)"
85,1447542391.dcm,/kaggle/input/rsna-breast-cancer-detection/train_images/4951/1447542391.dcm,"(4096, 3328)"
86,2032976779.dcm,/kaggle/input/rsna-breast-cancer-detection/train_images/4951/2032976779.dcm,"(4096, 3328)"
87,1219465286.dcm,/kaggle/input/rsna-breast-cancer-detection/train_images/4951/1219465286.dcm,"(4096, 3328)"
88,287034303.dcm,/kaggle/input/rsna-breast-cancer-detection/train_images/4951/287034303.dcm,"(4096, 3328)"
89,955705960.dcm,/kaggle/input/rsna-breast-cancer-detection/train_images/35471/955705960.dcm,"(4096, 3328)"
90,2145783405.dcm,/kaggle/input/rsna-breast-cancer-detection/train_images/35471/2145783405.dcm,"(4096, 3328)"
91,2133557544.dcm,/kaggle/input/rsna-breast-cancer-detection/train_images/35471/2133557544.dcm,"(4096, 3328)"
92,233005667.dcm,/kaggle/input/rsna-breast-cancer-detection/train_images/35471/233005667.dcm,"(4096, 3328)"
93,113817224.dcm,/kaggle/input/rsna-breast-cancer-detection/train_images/35471/113817224.dcm,"(4096, 3328)"
94,964131792.dcm,/kaggle/input/rsna-breast-cancer-detection/train_images/35471/964131792.dcm,"(4096, 3328)"
95,198798299.dcm,/kaggle/input/rsna-breast-cancer-detection/train_images/35471/198798299.dcm,"(4096, 3328)"
96,645260653.dcm,/kaggle/input/rsna-breast-cancer-detection/train_images/35471/645260653.dcm,"(4096, 3328)"
97,201206118.dcm,/kaggle/input/rsna-breast-cancer-detection/train_images/35471/201206118.dcm,"(4096, 3328)"
98,150124108.dcm,/kaggle/input/rsna-breast-cancer-detection/train_images/62679/150124108.dcm,"(5355, 4915)"
99,318041055.dcm,/kaggle/input/rsna-breast-cancer-detection/train_images/62679/318041055.dcm,"(5355, 4915)"
100,285217957.dcm,/kaggle/input/rsna-breast-cancer-detection/train_images/62679/285217957.dcm,"(5355, 4915)"
101,1417797839.dcm,/kaggle/input/rsna-breast-cancer-detection/train_images/62679/1417797839.dcm,"(5355, 4915)"
102,1176866126.dcm,/kaggle/input/rsna-breast-cancer-detection/train_images/24167/1176866126.dcm,"(2776, 2082)"
103,898329655.dcm,/kaggle/input/rsna-breast-cancer-detection/train_images/24167/898329655.dcm,"(2776, 2082)"
104,239404818.dcm,/kaggle/input/rsna-breast-cancer-detection/train_images/24167/239404818.dcm,"(2776, 2082)"
105,1588563712.dcm,/kaggle/input/rsna-breast-cancer-detection/train_images/24167/1588563712.dcm,"(2776, 2082)"
106,123132738.dcm,/kaggle/input/rsna-breast-cancer-detection/train_images/26874/123132738.dcm,"(2776, 2082)"
107,1952906824.dcm,/kaggle/input/rsna-breast-cancer-detection/train_images/26874/1952906824.dcm,"(2776, 2082)"
108,309853283.dcm,/kaggle/input/rsna-breast-cancer-detection/train_images/26874/309853283.dcm,"(2776, 2082)"
109,1251232554.dcm,/kaggle/input/rsna-breast-cancer-detection/train_images/26874/1251232554.dcm,"(2776, 2082)"
110,1792299350.dcm,/kaggle/input/rsna-breast-cancer-detection/train_images/36787/1792299350.dcm,"(5355, 4915)"
111,2043677628.dcm,/kaggle/input/rsna-breast-cancer-detection/train_images/36787/2043677628.dcm,"(5355, 4915)"
112,550490487.dcm,/kaggle/input/rsna-breast-cancer-detection/train_images/36787/550490487.dcm,"(5355, 4915)"
113,1037016691.dcm,/kaggle/input/rsna-breast-cancer-detection/train_images/36787/1037016691.dcm,"(5355, 4915)"
114,314273014.dcm,/kaggle/input/rsna-breast-cancer-detection/train_images/51138/314273014.dcm,"(4096, 3328)"
115,975746336.dcm,/kaggle/input/rsna-breast-cancer-detection/train_images/51138/975746336.dcm,"(4096, 3328)"
116,793462743.dcm,/kaggle/input/rsna-breast-cancer-detection/train_images/51138/793462743.dcm,"(4096, 3328)"
117,250075422.dcm,/kaggle/input/rsna-breast-cancer-detection/train_images/51138/250075422.dcm,"(4096, 3328)"
118,1903892156.dcm,/kaggle/input/rsna-breast-cancer-detection/train_images/17362/1903892156.dcm,"(4096, 3328)"
119,1194234131.dcm,/kaggle/input/rsna-breast-cancer-detection/train_images/17362/1194234131.dcm,"(4096, 3328)"
120,1712361839.dcm,/kaggle/input/rsna-breast-cancer-detection/train_images/17362/1712361839.dcm,"(4096, 3328)"
121,2056156795.dcm,/kaggle/input/rsna-breast-cancer-detection/train_images/17362/2056156795.dcm,"(4096, 3328)"
122,1580909504.dcm,/kaggle/input/rsna-breast-cancer-detection/train_images/21221/1580909504.dcm,"(4096, 3328)"
123,1064888428.dcm,/kaggle/input/rsna-breast-cancer-detection/train_images/21221/1064888428.dcm,"(4096, 3328)"
124,1821800285.dcm,/kaggle/input/rsna-breast-cancer-detection/train_images/21221/1821800285.dcm,"(4096, 3328)"
125,1236706393.dcm,/kaggle/input/rsna-breast-cancer-detection/train_images/21221/1236706393.dcm,"(4096, 3328)"
126,282742387.dcm,/kaggle/input/rsna-breast-cancer-detection/train_images/21221/282742387.dcm,"(4096, 3328)"
127,448741934.dcm,/kaggle/input/rsna-breast-cancer-detection/train_images/21221/448741934.dcm,"(4096, 3328)"
128,1456491417.dcm,/kaggle/input/rsna-breast-cancer-detection/train_images/14992/1456491417.dcm,"(4096, 3328)"
129,1122154186.dcm,/kaggle/input/rsna-breast-cancer-detection/train_images/14992/1122154186.dcm,"(4096, 3328)"
130,44785109.dcm,/kaggle/input/rsna-breast-cancer-detection/train_images/14992/44785109.dcm,"(4096, 3328)"
131,721186450.dcm,/kaggle/input/rsna-breast-cancer-detection/train_images/14992/721186450.dcm,"(4096, 3328)"
132,2124265430.dcm,/kaggle/input/rsna-breast-cancer-detection/train_images/31468/2124265430.dcm,"(4096, 3328)"
133,777256351.dcm,/kaggle/input/rsna-breast-cancer-detection/train_images/31468/777256351.dcm,"(4096, 3328)"
134,1150363536.dcm,/kaggle/input/rsna-breast-cancer-detection/train_images/31468/1150363536.dcm,"(4096, 3328)"
135,1295504495.dcm,/kaggle/input/rsna-breast-cancer-detection/train_images/31468/1295504495.dcm,"(4096, 3328)"
136,617815810.dcm,/kaggle/input/rsna-breast-cancer-detection/train_images/36303/617815810.dcm,"(4096, 3328)"
137,669949567.dcm,/kaggle/input/rsna-breast-cancer-detection/train_images/36303/669949567.dcm,"(4096, 3328)"
138,991220406.dcm,/kaggle/input/rsna-breast-cancer-detection/train_images/36303/991220406.dcm,"(4096, 3328)"
139,63172945.dcm,/kaggle/input/rsna-breast-cancer-detection/train_images/36303/63172945.dcm,"(4096, 3328)"
140,975031217.dcm,/kaggle/input/rsna-breast-cancer-detection/train_images/63585/975031217.dcm,"(4096, 3328)"
141,1892140484.dcm,/kaggle/input/rsna-breast-cancer-detection/train_images/63585/1892140484.dcm,"(4096, 3328)"
142,578310718.dcm,/kaggle/input/rsna-breast-cancer-detection/train_images/63585/578310718.dcm,"(4096, 3328)"
143,1505593741.dcm,/kaggle/input/rsna-breast-cancer-detection/train_images/63585/1505593741.dcm,"(4096, 3328)"
144,740823298.dcm,/kaggle/input/rsna-breast-cancer-detection/train_images/9377/740823298.dcm,"(3328, 2560)"
145,296248437.dcm,/kaggle/input/rsna-breast-cancer-detection/train_images/9377/296248437.dcm,"(3328, 2560)"
146,1453893914.dcm,/kaggle/input/rsna-breast-cancer-detection/train_images/9377/1453893914.dcm,"(3328, 2560)"
147,1526395884.dcm,/kaggle/input/rsna-breast-cancer-detection/train_images/9377/1526395884.dcm,"(3328, 2560)"
148,1514592310.dcm,/kaggle/input/rsna-breast-cancer-detection/train_images/9377/1514592310.dcm,"(3328, 2560)"
149,179864424.dcm,/kaggle/input/rsna-breast-cancer-detection/train_images/62254/179864424.dcm,"(5355, 4915)"
150,1388881141.dcm,/kaggle/input/rsna-breast-cancer-detection/train_images/62254/1388881141.dcm,"(5355, 4915)"
151,8924150.dcm,/kaggle/input/rsna-breast-cancer-detection/train_images/62254/8924150.dcm,"(5355, 4915)"
152,1473661871.dcm,/kaggle/input/rsna-breast-cancer-detection/train_images/62254/1473661871.dcm,"(5355, 4915)"
153,720807616.dcm,/kaggle/input/rsna-breast-cancer-detection/train_images/62254/720807616.dcm,"(5355, 4915)"
154,272286058.dcm,/kaggle/input/rsna-breast-cancer-detection/train_images/40358/272286058.dcm,"(4096, 3328)"
155,634910994.dcm,/kaggle/input/rsna-breast-cancer-detection/train_images/40358/634910994.dcm,"(4096, 3328)"
156,1350377417.dcm,/kaggle/input/rsna-breast-cancer-detection/train_images/40358/1350377417.dcm,"(4096, 3328)"
157,462459366.dcm,/kaggle/input/rsna-breast-cancer-detection/train_images/40358/462459366.dcm,"(4096, 3328)"
158,218116151.dcm,/kaggle/input/rsna-breast-cancer-detection/train_images/45395/218116151.dcm,"(3328, 2560)"
159,942585461.dcm,/kaggle/input/rsna-breast-cancer-detection/train_images/45395/942585461.dcm,"(4096, 3328)"
160,406924623.dcm,/kaggle/input/rsna-breast-cancer-detection/train_images/45395/406924623.dcm,"(4096, 3328)"
161,819296047.dcm,/kaggle/input/rsna-breast-cancer-detection/train_images/45395/819296047.dcm,"(4096, 3328)"
162,554254671.dcm,/kaggle/input/rsna-breast-cancer-detection/train_images/45395/554254671.dcm,"(4096, 3328)"
163,1963613873.dcm,/kaggle/input/rsna-breast-cancer-detection/train_images/45395/1963613873.dcm,"(3328, 2560)"
164,1808383495.dcm,/kaggle/input/rsna-breast-cancer-detection/train_images/26898/1808383495.dcm,"(2776, 2082)"
165,1634976140.dcm,/kaggle/input/rsna-breast-cancer-detection/train_images/26898/1634976140.dcm,"(2776, 2082)"
166,1580286990.dcm,/kaggle/input/rsna-breast-cancer-detection/train_images/26898/1580286990.dcm,"(2776, 2082)"
167,654849054.dcm,/kaggle/input/rsna-breast-cancer-detection/train_images/26898/654849054.dcm,"(2776, 2082)"
168,992813615.dcm,/kaggle/input/rsna-breast-cancer-detection/train_images/17308/992813615.dcm,"(5355, 4915)"
169,1262427666.dcm,/kaggle/input/rsna-breast-cancer-detection/train_images/17308/1262427666.dcm,"(5355, 4915)"
170,1041174859.dcm,/kaggle/input/rsna-breast-cancer-detection/train_images/17308/1041174859.dcm,"(5355, 4915)"
171,1872788488.dcm,/kaggle/input/rsna-breast-cancer-detection/train_images/17308/1872788488.dcm,"(5355, 4915)"
172,1992587890.dcm,/kaggle/input/rsna-breast-cancer-detection/train_images/6946/1992587890.dcm,"(4096, 3328)"
173,1189926771.dcm,/kaggle/input/rsna-breast-cancer-detection/train_images/6946/1189926771.dcm,"(4096, 3328)"
174,474472464.dcm,/kaggle/input/rsna-breast-cancer-detection/train_images/6946/474472464.dcm,"(4096, 3328)"
175,928088472.dcm,/kaggle/input/rsna-breast-cancer-detection/train_images/6946/928088472.dcm,"(4096, 3328)"
176,1362144434.dcm,/kaggle/input/rsna-breast-cancer-detection/train_images/23633/1362144434.dcm,"(2776, 2082)"
177,1271461298.dcm,/kaggle/input/rsna-breast-cancer-detection/train_images/23633/1271461298.dcm,"(2776, 2082)"
178,370117621.dcm,/kaggle/input/rsna-breast-cancer-detection/train_images/23633/370117621.dcm,"(2776, 2082)"
179,1182498482.dcm,/kaggle/input/rsna-breast-cancer-detection/train_images/23633/1182498482.dcm,"(2776, 2082)"
180,1305207914.dcm,/kaggle/input/rsna-breast-cancer-detection/train_images/64456/1305207914.dcm,"(2776, 2082)"
181,1581726224.dcm,/kaggle/input/rsna-breast-cancer-detection/train_images/64456/1581726224.dcm,"(2776, 2082)"
182,81324485.dcm,/kaggle/input/rsna-breast-cancer-detection/train_images/64456/81324485.dcm,"(2776, 2082)"
183,1460733677.dcm,/kaggle/input/rsna-breast-cancer-detection/train_images/64456/1460733677.dcm,"(2776, 2082)"
184,2121914092.dcm,/kaggle/input/rsna-breast-cancer-detection/train_images/45573/2121914092.dcm,"(5355, 4915)"
185,604611146.dcm,/kaggle/input/rsna-breast-cancer-detection/train_images/45573/604611146.dcm,"(5355, 4915)"
186,944677765.dcm,/kaggle/input/rsna-breast-cancer-detection/train_images/45573/944677765.dcm,"(5355, 4915)"
187,1581726511.dcm,/kaggle/input/rsna-breast-cancer-detection/train_images/45573/1581726511.dcm,"(5355, 4915)"
188,1096296603.dcm,/kaggle/input/rsna-breast-cancer-detection/train_images/36954/1096296603.dcm,"(4096, 3328)"
189,318592356.dcm,/kaggle/input/rsna-breast-cancer-detection/train_images/36954/318592356.dcm,"(4096, 3328)"
190,1013315088.dcm,/kaggle/input/rsna-breast-cancer-detection/train_images/36954/1013315088.dcm,"(4096, 3328)"
191,719270916.dcm,/kaggle/input/rsna-breast-cancer-detection/train_images/36954/719270916.dcm,"(4096, 3328)"
192,2139025292.dcm,/kaggle/input/rsna-breast-cancer-detection/train_images/36570/2139025292.dcm,"(4096, 3328)"
193,979798108.dcm,/kaggle/input/rsna-breast-cancer-detection/train_images/36570/979798108.dcm,"(4096, 3328)"
194,877004548.dcm,/kaggle/input/rsna-breast-cancer-detection/train_images/36570/877004548.dcm,"(4096, 3328)"
195,724756093.dcm,/kaggle/input/rsna-breast-cancer-detection/train_images/36570/724756093.dcm,"(4096, 3328)"
196,1870071397.dcm,/kaggle/input/rsna-breast-cancer-detection/train_images/36570/1870071397.dcm,"(4096, 3328)"
197,1126989566.dcm,/kaggle/input/rsna-breast-cancer-detection/train_images/36570/1126989566.dcm,"(4096, 3328)"
198,937674720.dcm,/kaggle/input/rsna-breast-cancer-detection/train_images/36570/937674720.dcm,"(4096, 3328)"
199,1381512879.dcm,/kaggle/input/rsna-breast-cancer-detection/train_images/50492/1381512879.dcm,"(5355, 4915)"
200,526577192.dcm,/kaggle/input/rsna-breast-cancer-detection/train_images/50492/526577192.dcm,"(5355, 4915)"
201,1984198095.dcm,/kaggle/input/rsna-breast-cancer-detection/train_images/50492/1984198095.dcm,"(5355, 4915)"
202,1604361173.dcm,/kaggle/input/rsna-breast-cancer-detection/train_images/50492/1604361173.dcm,"(5355, 4915)"
203,1698781771.dcm,/kaggle/input/rsna-breast-cancer-detection/train_images/14938/1698781771.dcm,"(4096, 3328)"
204,15221036.dcm,/kaggle/input/rsna-breast-cancer-detection/train_images/14938/15221036.dcm,"(4096, 3328)"
205,1589472189.dcm,/kaggle/input/rsna-breast-cancer-detection/train_images/14938/1589472189.dcm,"(4096, 3328)"
206,1999154192.dcm,/kaggle/input/rsna-breast-cancer-detection/train_images/14938/1999154192.dcm,"(4096, 3328)"
207,823677916.dcm,/kaggle/input/rsna-breast-cancer-detection/train_images/63306/823677916.dcm,"(5355, 4915)"
208,932143659.dcm,/kaggle/input/rsna-breast-cancer-detection/train_images/63306/932143659.dcm,"(5355, 4915)"
209,2029490666.dcm,/kaggle/input/rsna-breast-cancer-detection/train_images/63306/2029490666.dcm,"(5355, 4915)"
210,1142202640.dcm,/kaggle/input/rsna-breast-cancer-detection/train_images/63306/1142202640.dcm,"(5355, 4915)"
211,1998118024.dcm,/kaggle/input/rsna-breast-cancer-detection/train_images/24864/1998118024.dcm,"(2776, 2082)"
212,778082081.dcm,/kaggle/input/rsna-breast-cancer-detection/train_images/24864/778082081.dcm,"(2776, 2082)"
213,1763730597.dcm,/kaggle/input/rsna-breast-cancer-detection/train_images/24864/1763730597.dcm,"(2776, 2082)"
214,2044087339.dcm,/kaggle/input/rsna-breast-cancer-detection/train_images/24864/2044087339.dcm,"(2776, 2082)"
215,1881137510.dcm,/kaggle/input/rsna-breast-cancer-detection/train_images/31778/1881137510.dcm,"(4096, 3328)"
216,1659304852.dcm,/kaggle/input/rsna-breast-cancer-detection/train_images/31778/1659304852.dcm,"(4096, 3328)"
217,1303157345.dcm,/kaggle/input/rsna-breast-cancer-detection/train_images/31778/1303157345.dcm,"(4096, 3328)"
218,1563343605.dcm,/kaggle/input/rsna-breast-cancer-detection/train_images/31778/1563343605.dcm,"(4096, 3328)"
219,1200561322.dcm,/kaggle/input/rsna-breast-cancer-detection/train_images/31778/1200561322.dcm,"(4096, 3328)"
220,1257987957.dcm,/kaggle/input/rsna-breast-cancer-detection/train_images/625/1257987957.dcm,"(4096, 3328)"
221,75130062.dcm,/kaggle/input/rsna-breast-cancer-detection/train_images/625/75130062.dcm,"(4096, 3328)"
222,834876940.dcm,/kaggle/input/rsna-breast-cancer-detection/train_images/625/834876940.dcm,"(4096, 3328)"
223,1097006067.dcm,/kaggle/input/rsna-breast-cancer-detection/train_images/625/1097006067.dcm,"(4096, 3328)"
224,1612259645.dcm,/kaggle/input/rsna-breast-cancer-detection/train_images/61920/1612259645.dcm,"(2776, 2082)"
225,1765135014.dcm,/kaggle/input/rsna-breast-cancer-detection/train_images/61920/1765135014.dcm,"(2776, 2082)"
226,1564331173.dcm,/kaggle/input/rsna-breast-cancer-detection/train_images/61920/1564331173.dcm,"(2776, 2082)"
227,1789323230.dcm,/kaggle/input/rsna-breast-cancer-detection/train_images/61920/1789323230.dcm,"(2776, 2082)"
228,561088630.dcm,/kaggle/input/rsna-breast-cancer-detection/train_images/38744/561088630.dcm,"(5355, 4915)"
229,1371223241.dcm,/kaggle/input/rsna-breast-cancer-detection/train_images/38744/1371223241.dcm,"(5355, 4915)"
230,492897993.dcm,/kaggle/input/rsna-breast-cancer-detection/train_images/38744/492897993.dcm,"(5355, 4915)"
231,1099726636.dcm,/kaggle/input/rsna-breast-cancer-detection/train_images/38744/1099726636.dcm,"(5355, 4915)"
232,761513825.dcm,/kaggle/input/rsna-breast-cancer-detection/train_images/49063/761513825.dcm,"(4096, 3328)"
233,1446563917.dcm,/kaggle/input/rsna-breast-cancer-detection/train_images/49063/1446563917.dcm,"(4096, 3328)"
234,2117818448.dcm,/kaggle/input/rsna-breast-cancer-detection/train_images/49063/2117818448.dcm,"(4096, 3328)"
235,47348787.dcm,/kaggle/input/rsna-breast-cancer-detection/train_images/49063/47348787.dcm,"(4096, 3328)"
